868	困	39172	86.7460183695
869	剑	39020	86.7661833255
870	渐	39010	86.7863431136
871	封	38954	86.8064739617
872	救	38824	86.8265376278
873	贵	38668	86.8465206753
874	枪	38569	86.8664525612
875	缺	38506	86.8863518896
876	楼	38463	86.9062289962
877	县	38407	86.9260771629
878	尚	38376	86.9459093092
879	毫	38374	86.965740422
880	移	38349	86.9855586151
881	娘	38274	87.0053380494
882	朋	38271	87.0251159333
883	画	38263	87.0448896829
884	班	38130	87.0645947
885	智	38064	87.0842656094
886	亦	37960	87.1038827731
887	耳	37939	87.1234890843
888	恩	37898	87.1430742074
889	短	37834	87.1626262562
890	掌	37729	87.1821240425
891	恐	37676	87.2015944392
892	遗	37619	87.2210353792
893	固	37582	87.2404571982
894	席	37579	87.2598774667
895	松	37563	87.2792894667
896	秘	37560	87.2986999164
897	谢	37550	87.3181051982
898	鲁	37474	87.3374712043
899	遇	37343	87.3567695116
900	康	37302	87.3760466307
901	虑	37208	87.395275172
902	幸	37198	87.4144985455
903	均	36842	87.4335379434
904	销	36821	87.4525664888
905	钟	36770	87.4715686782
906	诗	36762	87.4905667333
907	藏	36704	87.5095348149
908	赶	36599	87.5284486341
909	剧	36585	87.5473552182
910	票	36459	87.5661966875
911	损	36444	87.5850304049
912	忽	36378	87.6038300145
913	巨	36351	87.622615671
914	炮	36315	87.6413827231
915	旧	36291	87.6601373724
916	端	36233	87.6788620482
917	探	36230	87.6975851737
918	湖	36112	87.7162473184
919	录	36080	87.7348929261
920	叶	36032	87.7535137281
921	春	36027	87.7721319461
922	乡	36025	87.7907491306
923	附	35955	87.8093301401
924	吸	35891	87.8278780754
925	予	35757	87.8463567614
926	礼	35612	87.8647605137
927	港	35577	87.8831461784
928	雨	35370	87.9014248686
929	呀	35343	87.9196896056
930	板	35332	87.937948658
931	庭	35205	87.9561420787
932	妇	35188	87.974326714
933	归	35153	87.9924932618
934	睛	35082	88.0106231179
935	饭	35076	88.0287498733
936	额	34823	88.046745882
937	含	34759	88.0647088165
938	顺	34708	88.082645395
939	输	34688	88.1005716377
940	摇	34635	88.1184704909
941	招	34625	88.1363641762
942	婚	34610	88.1542501097
943	脱	34548	88.1721040025
944	补	34542	88.1899547946
945	谓	34527	88.207797835
946	督	34523	88.2256388082
947	毒	34517	88.2434766807
948	油	34469	88.2612897475
949	疗	34467	88.2791017807
950	旅	34384	88.2968709208
951	泽	34311	88.3146023355
952	材	34237	88.3322955082
953	灭	34135	88.3499359688
954	逐	34128	88.3675728118
955	莫	34097	88.3851936346
956	笔	34057	88.4027937859
957	亡	33917	88.4203215873
958	鲜	33720	88.4377475821
959	词	33669	88.4551472208
960	圣	33620	88.472521537
961	择	33615	88.4898932693
962	寻	33469	88.507189551
963	厂	33468	88.5244853159
964	睡	33420	88.5417562751
965	博	33366	88.5589993279
966	勒	33228	88.5761710643
967	烟	33137	88.5932957733
968	授	33017	88.6103584681
969	诺	32991	88.6274077265
970	伦	32822	88.6443696482
971	岸	32807	88.6613238181
972	奥	32761	88.6782542159
973	唐	32757	88.6951825465
974	卖	32694	88.7120783197
975	俄	32638	88.728945153
976	炸	32540	88.7457613412
977	载	32456	88.7625341196
978	洛	32431	88.7792939783
979	健	32399	88.7960372999
980	堂	32367	88.8127640843
981	旁	32268	88.829439707
982	宫	32179	88.8460693359
983	喝	32112	88.8626643401
984	借	32027	88.8792154176
985	君	31960	88.8957318705
986	禁	31951	88.9122436724
987	阴	31936	88.9287477224
988	园	31925	88.9452460879
989	谋	31910	88.9617367015
