id,frequency,frequency_percent,characters
706,53033,82.9383377455,竟
707,52891,82.9656710281,句
708,52846,82.9929810553,室
709,52735,83.0202337194,异
710,52723,83.047480182,激
711,52656,83.0746920201,汉
712,52603,83.1018764685,村
713,52475,83.1289947685,哈
714,52394,83.1560712088,策
715,52394,83.1831476492,演
716,52280,83.210165176,简
717,52244,83.2371640986,卡
718,52068,83.264072067,罪
719,52045,83.2909681493,判
720,51792,83.317733485,担
721,51533,83.3443649733,州
722,51401,83.370928246,静
723,51272,83.3974248535,退
724,51208,83.4238883866,既
725,51134,83.4503136777,衣
726,51094,83.4767182974,您
727,50799,83.5029704655,宗
728,50720,83.5291818075,积
729,50601,83.5553316521,余
730,50459,83.5814081132,痛
731,50413,83.6074608022,检
732,50349,83.6334804169,差
733,50273,83.659460756,富
734,50134,83.6853692619,灵
735,50123,83.7112720832,协
736,50081,83.7371531996,角
737,49980,83.7629821206,占
738,49900,83.7887696988,配
739,49855,83.8145340217,征
740,49829,83.8402849082,修
741,49803,83.8660223583,皮
742,49702,83.891707613,挥
743,49565,83.9173220682,胜
744,49306,83.9428026761,降
745,49058,83.9681551212,阶
746,48862,83.9934062765,审
747,48772,84.018610921,沉
748,48749,84.0438036796,坚
749,48739,84.0689912702,善
750,48622,84.0941183971,妈
751,48600,84.1192341546,刘
752,48304,84.1441969438,读
753,48244,84.1691287258,啊
754,48218,84.1940470714,超
755,48044,84.2188754964,免
756,48038,84.2437008207,压
757,47955,84.2684832519,银
758,47788,84.2931793799,买
759,47750,84.3178558701,皇
760,47702,84.3425075545,养
761,47619,84.3671163459,伊
762,47561,84.3916951637,怀
763,47543,84.4162646793,执
764,47520,84.4408223089,副
765,47474,84.4653561664,乱
766,47342,84.4898218082,抗
767,47098,84.5141613545,犯
768,47079,84.5384910819,追
769,47065,84.5628135742,帮
770,47041,84.5871236638,宣
771,47038,84.6114322029,佛
772,46835,84.6356358347,岁
773,46789,84.6598156944,航
774,46613,84.6839045999,优
775,46600,84.7079867871,怪
776,46525,84.7320302155,香
777,46239,84.7559258434,著
778,45886,84.779639046,田
779,45798,84.8033067716,铁
780,45664,84.826905248,控
781,45615,84.850478402,税
782,45568,84.874027267,左
783,45561,84.8975725145,右
784,45408,84.9210386939,份
785,45314,84.9444562955,穿
786,45218,84.9678242857,艺
787,45181,84.9911731549,背
788,44899,85.0143762906,阵
789,44612,85.0374311091,草
790,44529,85.0604430343,脚
791,44501,85.0834404896,概
792,44493,85.1064338106,恶
793,44475,85.1294178295,块
794,44425,85.1523760091,顿
795,44338,85.1752892284,敢
796,44264,85.1981642056,守
797,44069,85.2209384097,酒
798,44056,85.2437058956,岛
799,44052,85.2664713143,托
800,44052,85.2892367331,央
801,43810,85.3118770898,户
